School,Location,lat,long,2020,2016,2012,2008,2004,2000,1996
University of Illinois Urbana-Champaign,"Champaign, IL",40.104605,-88.269671,33001,32752,31260,30813,28931,28414,26311
Northwestern University,"Evanston, IL",42.046069,-87.691232,8401,8563,8936,8704,8501,9013,7645
Indiana University-Bloomington,"Bloomington, IN",39.207854,-86.520118,32621,32924,31927,31087,29062,29383,25451
University of Iowa,"Iowa City, IA",41.65748,-91.51939,21909,22990,21320,20079,19404,19284,19188
University of Maryland-College Park,"College Park, MD",38.986885,-76.933198,30214,29006,25831,25852,24665,24638,23541
University of Michigan-Ann Arbor,"Ann Arbor, MI",42.279731,-83.736923,31189,28761,27797,25865,24677,24412,23590
Michigan State University,"East Lansing, MI",42.736452,-84.479762,38413,38851,36976,35854,35107,34342,32050
University of Minnesota-Twin Cities,"Minneapolis, MN",44.96313,-93.266563,30907,30975,30375,28505,28740,31824,37087
University of Nebraska-Lincoln,"Lincoln, NE",40.802759,-96.663162,20128,20833,19103,18526,17137,17968,18851
Rutgers University-New Brunswick,"New Brunswick, NJ",40.489547,-74.448314,35428,35782,31226,27753,26366,27938,25157
Ohio State University-Main Campus,"Columbus, OH",39.98072,-82.985586,45862,44762,41877,38719,36097,35749,35314
University of Wisconsin-Madison,"Madison, WI",43.081309,-89.395609,31651,29536,29127,28777,27852,29697,26644
Purdue University-Main Campus,"West Lafayette, IN",40.460621,-86.915627,35517,30849,31055,32671,31594,32669,29269
University of Southern California,"Burbank, CA",34.185797,-118.322584,19521,18557,17994,16283,16271,15705,14586
University of California-Los Angeles,"Irvine, CA",33.672421,-117.764394,31636,30859,27941,26536,24946,25011,23912
